iter	Passed	Remaining
1121	45851	56313
1122	45901	56283
1123	45938	56238
1124	45981	56199
1125	46021	56157
1126	46061	56115
1127	46104	56077
1128	46148	56040
1129	46186	55996
1130	46228	55956
1131	46268	55914
1132	46308	55872
1133	46344	55826
1134	46388	55789
1135	46421	55738
1136	46468	55704
1137	46508	55663
1138	46549	55622
1139	46586	55577
1140	46624	55533
1141	46665	55491
1142	46707	55451
1143	46739	55400
1144	46782	55363
1145	46821	55319
1146	46860	55277
1147	46899	55233
1148	46939	55191
1149	46979	55149
1150	47015	55103
1151	47057	55063
1152	47105	55030
1153	47143	54987
1154	47177	54938
1155	47215	54894
1156	47257	54854
1157	47295	54810
1158	47338	54772
1159	47376	54728
1160	47425	54696
1161	47461	54650
1162	47500	54607
1163	47545	54570
1164	47584	54528
1165	47627	54489
1166	47675	54457
1167	47708	54407
1168	47753	54371
1169	47789	54325
1170	47830	54283
1171	47868	54240
1172	47909	54199
1173	47954	54162
1174	47991	54118
1175	48035	54080
1176	48067	54030
1177	48102	53982
1178	48140	53938
1179	48180	53896
1180	48221	53856
1181	48257	53809
1182	48297	53768
1183	48346	53736
1184	48384	53691
1185	48425	53651
1186	48465	53610
1187	48509	53572
1188	48556	53539
1189	48599	53500
1190	48643	53462
1191	48679	53416
1192	48728	53384
1193	48761	53335
1194	48804	53297
1195	48846	53257
1196	48880	53209
1197	48916	53162
1198	48955	53120
1199	48996	53079
1200	49041	53042
1201	49080	53000
1202	49120	52959
1203	49160	52917
1204	49195	52870
1205	49232	52824
1206	49287	52799
1207	49330	52760
1208	49372	52720
1209	49412	52679
1210	49451	52636
1211	49489	52592
1212	49528	52549
1213	49575	52516
1214	49618	52477
1215	49656	52433
1216	49690	52385
1217	49732	52345
1218	49774	52306
1219	49813	52263
1220	49849	52217
1221	49898	52185
1222	49940	52145
1223	49980	52103
1224	50017	52058
1225	50054	52014
1226	50093	51971
1227	50129	51925
1228	50169	51883
1229	50213	51846
1230	50249	51800
1231	50293	51763
1232	50333	51721
1233	50377	51683
1234	50420	51644
1235	50458	51601
1236	50496	51557
1237	50545	51524
1238	50579	51477
1239	50618	51434
1240	50661	51395
1241	50702	51355
1242	50743	51315
1243	50786	51276
1244	50825	51233
1245	50865	51191
1246	50909	51154
1247	50949	51113
1248	50985	51067
1249	51023	51023
1250	51060	50979
1251	51099	50936
1252	51140	50895
1253	51177	50851
1254	51216	50808
1255	51260	50770
1256	51296	50725
1257	51332	50679
1258	51367	50632
1259	51412	50595
1260	51451	50553
1261	51489	50510
1262	51529	50468
1263	51571	50428
1264	51607	50383
1265	51644	50339
1266	51684	50297
1267	51722	50253
1268	51761	50211
1269	51798	50166
1270	51839	50126
1271	51878	50084
1272	51915	50039
1273	51958	50000
1274	51997	49958
1275	52042	49921
1276	52087	49884
1277	52139	49855
1278	52181	49815
1279	52219	49771
1280	52256	49727
1281	52294	49683
1282	52333	49641
1283	52374	49600
1284	52420	49564
1285	52462	49524
1286	52501	49482
1287	52549	49449
1288	52588	49405
1289	52633	49369
1290	52668	49323
1291	52709	49282
1292	52752	49244
1293	52788	49198
1294	52834	49162
1295	52879	49125
1296	52912	49077
1297	52949	49033
1298	52986	48988
1299	53026	48947
1300	53065	48904
1301	53103	48862
1302	53152	48828
1303	53191	48785
1304	53226	48740
1305	53266	48698
1306	53307	48657
1307	53342	48612
1308	53386	48573
1309	53419	48526
1310	53459	48484
1311	53499	48442
1312	53539	48402
1313	53585	48365
1314	53623	48322
1315	53670	48287
1316	53709	48244
1317	53747	48201
1318	53787	48160
1319	53833	48123
1320	53875	48084
1321	53914	48042
1322	53949	47996
1323	53992	47957
1324	54033	47916
1325	54074	47876
1326	54122	47841
1327	54158	47796
1328	54198	47754
1329	54237	47712
1330	54285	47678
1331	54325	47636
1332	54373	47602
1333	54415	47562
1334	54453	47519
1335	54495	47480
1336	54531	47434
1337	54576	47397
1338	54617	47357
1339	54660	47318
1340	54706	47281
1341	54741	47236
1342	54788	47200
1343	54831	47161
1344	54867	47116
1345	54906	47074
1346	54944	47031
1347	54979	46985
1348	55054	46973
1349	55100	46937
1350	55139	46895
1351	55178	46852
1352	55215	46809
1353	55258	46770
1354	55301	46730
1355	55345	46692
1356	55383	46649
1357	55424	46608
1358	55467	46569
1359	55508	46529
1360	55543	46483
1361	55578	46438
1362	55616	46394
1363	55656	46352
1364	55694	46309
1365	55739	46273
1366	55775	46227
1367	55818	46188
1368	55857	46146
1369	55898	46105
1370	55937	46064
1371	55976	46021
1372	56019	45982
1373	56057	45939
1374	56098	45898
1375	56137	45856
1376	56178	45816
1377	56215	45771
1378	56256	45731
1379	56302	45694
1380	56345	45655
1381	56387	45616
1382	56428	45575
1383	56473	45538
1384	56516	45498
1385	56558	45459
1386	56600	45419
1387	56639	45376
1388	56678	45334
1389	56719	45293
1390	56760	45252
1391	56799	45210
1392	56839	45169
1393	56876	45125
1394	56923	45089
1395	56962	45047
1396	56998	45003
1397	57032	44957
1398	57072	44915
1399	57111	44873
1400	57148	44829
1401	57180	44782
1402	57226	44745
1403	57272	44708
1404	57317	44670
1405	57362	44633
1406	57409	44597
1407	57444	44552
1408	57482	44509
1409	57520	44465
1410	57565	44428
1411	57601	44383
1412	57645	44345
1413	57681	44301
1414	57721	44260
1415	57766	44222
1416	57805	44180
1417	57842	44136
1418	57889	44100
1419	57925	44055
1420	57961	44011
1421	58001	43970
1422	58043	43930
1423	58077	43884
1424	58115	43841
1425	58161	43805
1426	58194	43758
1427	58235	43717
1428	58274	43675
1429	58315	43634
1430	58356	43594
1431	58404	43559
1432	58452	43523
1433	58498	43486
1434	58535	43443
1435	58579	43404
1436	58618	43361
1437	58666	43327
1438	58701	43281
1439	58740	43239
1440	58777	43196
1441	58819	43156
1442	58859	43114
1443	58900	43074
1444	58933	43027
1445	58970	42984
1446	59007	42940
1447	59051	42901
1448	59098	42865
1449	59140	42825
1450	59181	42785
1451	59221	42743
1452	59255	42698
1453	59296	42657
1454	59336	42616
1455	59379	42577
1456	59420	42536
1457	59455	42491
1458	59495	42450
1459	59538	42410
1460	59581	42371
1461	59620	42329
1462	59661	42288
1463	59696	42244
1464	59735	42202
1465	59776	42161
1466	59813	42117
1467	59853	42077
1468	59886	42030
1469	59926	41989
1470	59969	41950
1471	60007	41907
1472	60053	41870
1473	60095	41830
1474	60133	41787
1475	60172	41745
1476	60217	41707
1477	60258	41667
1478	60299	41626
1479	60339	41585
1480	60377	41542
1481	60420	41503
1482	60462	41463
1483	60502	41422
1484	60548	41384
1485	60607	41356
1486	60650	41317
1487	60687	41274
1488	60730	41234
1489	60769	41192
1490	60813	41153
1491	60857	41115
1492	60893	41071
1493	60959	41047
1494	61008	41012
1495	61051	40973
1496	61099	40937
1497	61140	40896
1498	61192	40863
1499	61235	40823
1500	61282	40786
1501	61330	40751
1502	61373	40711
1503	61417	40672
1504	61475	40643
1505	61514	40601
1506	61567	40568
1507	61618	40534
1508	61655	40491
1509	61718	40464
1510	61770	40431
1511	61818	40394
1512	61872	40362
1513	61915	40322
1514	61950	40278
1515	61986	40233
1516	62026	40192
1517	62066	40151
1518	62099	40105
1519	62135	40061
1520	62182	40024
1521	62224	39984
1522	62265	39943
1523	62301	39899
1524	62340	39856
1525	62378	39814
1526	62421	39774
1527	62469	39738
1528	62510	39697
1529	62544	39652
1530	62585	39611
1531	62629	39572
1532	62667	39529
1533	62703	39486
1534	62739	39442
1535	62779	39400
1536	62824	39362
1537	62864	39320
1538	62907	39281
1539	62947	39240
1540	62989	39199
1541	63027	39157
1542	63072	39119
1543	63114	39078
1544	63155	39037
1545	63204	39001
1546	63252	38965
1547	63294	38925
1548	63345	38890
1549	63392	38853
1550	63443	38819
1551	63482	38776
1552	63523	38735
1553	63568	38697
1554	63612	38658
1555	63650	38615
1556	63695	38577
1557	63738	38537
1558	63786	38500
1559	63828	38460
1560	63870	38420
1561	63909	38378
1562	63945	38334
1563	63985	38293
1564	64025	38251
1565	64064	38209
1566	64107	38169
